===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,SmaCross,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
17,,17,2020-01-27 00:00:00,77.51499938964844,77.94249725341797,76.22000122070312,77.23750305175781,161940000.0,,SmaCross,17,737451.0,Broker,17,10000.0,10000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,,18,2020-01-28 00:00:00,78.1500015258789,79.5999984741211,78.04750061035156,79.42250061035156,162234000.0,,SmaCross,18,737452.0,Broker,18,10000.0,10000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,,19,2020-01-29 00:00:00,81.11250305175781,81.9625015258789,80.34500122070312,81.08499908447266,216229200.0,,SmaCross,19,737453.0,Broker,19,10000.0,10000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,,20,2020-01-30 00:00:00,80.13500213623047,81.02249908447266,79.6875,80.96749877929688,126743200.0,,SmaCross,20,737454.0,Broker,20,10000.0,10000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,,21,2020-01-31 00:00:00,80.23249816894531,80.66999816894531,77.07250213623047,77.37750244140625,199588400.0,,SmaCross,21,737455.0,Broker,21,10000.0,10000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,,22,2020-02-03 00:00:00,76.07499694824219,78.37249755859375,75.55500030517578,77.16500091552734,173788400.0,,SmaCross,22,737458.0,Broker,22,10000.0,10000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,,23,2020-02-04 00:00:00,78.82749938964844,79.91000366210938,78.40750122070312,79.7125015258789,136616400.0,,SmaCross,23,737459.0,Broker,23,10000.0,10000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,,24,2020-02-05 00:00:00,80.87999725341797,81.19000244140625,79.73750305175781,80.36250305175781,118826800.0,,SmaCross,24,737460.0,Broker,24,10000.0,10000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,,25,2020-02-06 00:00:00,80.64250183105469,81.30500030517578,80.06500244140625,81.30249786376953,105425600.0,,SmaCross,25,737461.0,Broker,25,10000.0,10000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,,26,2020-02-07 00:00:00,80.59249877929688,80.8499984741211,79.5,80.00749969482422,117684000.0,,SmaCross,26,737462.0,Broker,26,10000.0,10000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,,27,2020-02-10 00:00:00,78.54499816894531,80.38749694824219,78.4625015258789,80.38749694824219,109348800.0,,SmaCross,27,737465.0,Broker,27,10000.0,10000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,,28,2020-02-11 00:00:00,80.9000015258789,80.9749984741211,79.67749786376953,79.90249633789062,94323200.0,,SmaCross,28,737466.0,Broker,28,10000.0,10000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,,29,2020-02-12 00:00:00,80.36750030517578,81.80500030517578,80.36750030517578,81.80000305175781,113730400.0,,SmaCross,29,737467.0,Broker,29,10000.0,10000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,,30,2020-02-13 00:00:00,81.04750061035156,81.55500030517578,80.8375015258789,81.21749877929688,94747600.0,,SmaCross,30,737468.0,Broker,30,10000.0,10000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,,31,2020-02-14 00:00:00,81.18499755859375,81.49500274658203,80.7125015258789,81.23750305175781,80113600.0,,SmaCross,31,737469.0,Broker,31,10000.0,10000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,,32,2020-02-18 00:00:00,78.83999633789062,79.9375,78.65249633789062,79.75,152531200.0,,SmaCross,32,737473.0,Broker,32,10000.0,10000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,
33,,33,2020-02-19 00:00:00,80.0,81.14250183105469,80.0,80.90499877929688,93984000.0,,SmaCross,33,737474.0,Broker,33,10000.0,10000.0,BuySell,33,,,Trades - Net Profit/Loss,33,,
34,,34,2020-02-20 00:00:00,80.65750122070312,81.1624984741211,79.55249786376953,80.07499694824219,100566000.0,,SmaCross,34,737475.0,Broker,34,10000.0,10000.0,BuySell,34,,,Trades - Net Profit/Loss,34,,
35,,35,2020-02-21 00:00:00,79.65499877929688,80.11250305175781,77.625,78.26249694824219,129554000.0,,SmaCross,35,737476.0,Broker,35,10000.0,10000.0,BuySell,35,,,Trades - Net Profit/Loss,35,,
36,,36,2020-02-24 00:00:00,74.31500244140625,76.04499816894531,72.30750274658203,74.54499816894531,222195200.0,,SmaCross,36,737479.0,Broker,36,10000.0,10000.0,BuySell,36,,,Trades - Net Profit/Loss,36,,
37,,37,2020-02-25 00:00:00,75.23750305175781,75.63249969482422,71.53250122070312,72.0199966430664,230673600.0,,SmaCross,37,737480.0,Broker,37,10000.0,10000.0,BuySell,37,,,Trades - Net Profit/Loss,37,,
38,,38,2020-02-26 00:00:00,71.63249969482422,74.47000122070312,71.625,73.1624984741211,198054800.0,,SmaCross,38,737481.0,Broker,38,10000.0,10000.0,BuySell,38,,,Trades - Net Profit/Loss,38,,
39,,39,2020-02-27 00:00:00,70.2750015258789,71.5,68.23999786376953,68.37999725341797,320605600.0,,SmaCross,39,737482.0,Broker,39,10000.0,10000.0,BuySell,39,,,Trades - Net Profit/Loss,39,,
40,,40,2020-02-28 00:00:00,64.31500244140625,69.60250091552734,64.09249877929688,68.33999633789062,426510000.0,,SmaCross,40,737483.0,Broker,40,10000.0,10000.0,BuySell,40,,,Trades - Net Profit/Loss,40,,
41,,41,2020-03-02 00:00:00,70.56999969482422,75.36000061035156,69.43000030517578,74.70249938964844,341397200.0,,SmaCross,41,737486.0,Broker,41,10000.0,10000.0,BuySell,41,,,Trades - Net Profit/Loss,41,,
42,,42,2020-03-03 00:00:00,75.9175033569336,76.0,71.44999694824219,72.33000183105469,319475600.0,,SmaCross,42,737487.0,Broker,42,10000.0,10000.0,BuySell,42,,,Trades - Net Profit/Loss,42,,
43,,43,2020-03-04 00:00:00,74.11000061035156,75.8499984741211,73.28250122070312,75.68499755859375,219178400.0,,SmaCross,43,737488.0,Broker,43,10000.0,10000.0,BuySell,43,,,Trades - Net Profit/Loss,43,,
44,,44,2020-03-05 00:00:00,73.87999725341797,74.88749694824219,72.85250091552734,73.2300033569336,187572800.0,,SmaCross,44,737489.0,Broker,44,10000.0,10000.0,BuySell,44,,,Trades - Net Profit/Loss,44,,
45,,45,2020-03-06 00:00:00,70.5,72.70500183105469,70.30750274658203,72.25749969482422,226176800.0,,SmaCross,45,737490.0,Broker,45,10000.0,10000.0,BuySell,45,,,Trades - Net Profit/Loss,45,,
46,,46,2020-03-09 00:00:00,65.9375,69.52249908447266,65.75,66.5425033569336,286744800.0,,SmaCross,46,737493.0,Broker,46,10000.0,10000.0,BuySell,46,,,Trades - Net Profit/Loss,46,,
47,,47,2020-03-10 00:00:00,69.28500366210938,71.61000061035156,67.34249877929688,71.33499908447266,285290000.0,,SmaCross,47,737494.0,Broker,47,10000.0,10000.0,BuySell,47,,,Trades - Net Profit/Loss,47,,
48,,48,2020-03-11 00:00:00,69.34750366210938,70.30500030517578,67.96499633789062,68.85749816894531,255598800.0,,SmaCross,48,737495.0,Broker,48,10000.0,10000.0,BuySell,48,,,Trades - Net Profit/Loss,48,,
49,,49,2020-03-12 00:00:00,63.98500061035156,67.5,62.0,62.057498931884766,418474000.0,,SmaCross,49,737496.0,Broker,49,10000.0,10000.0,BuySell,49,,,Trades - Net Profit/Loss,49,,
50,,50,2020-03-13 00:00:00,66.22250366210938,69.9800033569336,63.23749923706055,69.49250030517578,370732000.0,,SmaCross,50,737497.0,Broker,50,10000.0,10000.0,BuySell,50,,,Trades - Net Profit/Loss,50,,
51,,51,2020-03-16 00:00:00,60.48749923706055,64.7699966430664,60.0,60.5525016784668,322423600.0,,SmaCross,51,737500.0,Broker,51,10000.0,10000.0,BuySell,51,,,Trades - Net Profit/Loss,51,,
52,,52,2020-03-17 00:00:00,61.877498626708984,64.40249633789062,59.599998474121094,63.21500015258789,324056000.0,,SmaCross,52,737501.0,Broker,52,10000.0,10000.0,BuySell,52,,,Trades - Net Profit/Loss,52,,
53,,53,2020-03-18 00:00:00,59.942501068115234,62.5,59.279998779296875,61.66749954223633,300233600.0,,SmaCross,53,737502.0,Broker,53,10000.0,10000.0,BuySell,53,,,Trades - Net Profit/Loss,53,,
54,,54,2020-03-19 00:00:00,61.84749984741211,63.209999084472656,60.65250015258789,61.19499969482422,271857200.0,,SmaCross,54,737503.0,Broker,54,10000.0,10000.0,BuySell,54,,,Trades - Net Profit/Loss,54,,
55,,55,2020-03-20 00:00:00,61.79499816894531,62.95750045776367,57.0,57.310001373291016,401693200.0,,SmaCross,55,737504.0,Broker,55,10000.0,10000.0,BuySell,55,,,Trades - Net Profit/Loss,55,,
56,,56,2020-03-23 00:00:00,57.02000045776367,57.125,53.15250015258789,56.092498779296875,336752800.0,,SmaCross,56,737507.0,Broker,56,10000.0,10000.0,BuySell,56,,,Trades - Net Profit/Loss,56,,
57,,57,2020-03-24 00:00:00,59.09000015258789,61.92250061035156,58.57500076293945,61.720001220703125,287531200.0,,SmaCross,57,737508.0,Broker,57,10000.0,10000.0,BuySell,57,,,Trades - Net Profit/Loss,57,,
58,,58,2020-03-25 00:00:00,62.6875,64.5625,61.07500076293945,61.380001068115234,303602000.0,,SmaCross,58,737509.0,Broker,58,10000.0,10000.0,BuySell,58,,,Trades - Net Profit/Loss,58,,
59,,59,2020-03-26 00:00:00,61.630001068115234,64.66999816894531,61.59000015258789,64.61000061035156,252087200.0,,SmaCross,59,737510.0,Broker,59,10000.0,10000.0,BuySell,59,,,Trades - Net Profit/Loss,59,,
60,,60,2020-03-27 00:00:00,63.1875,63.967498779296875,61.76250076293945,61.935001373291016,204216800.0,,SmaCross,60,737511.0,Broker,60,10000.0,10000.0,BuySell,60,,,Trades - Net Profit/Loss,60,,
61,,61,2020-03-30 00:00:00,62.685001373291016,63.880001068115234,62.349998474121094,63.70249938964844,167976400.0,,SmaCross,61,737514.0,Broker,61,10000.0,10000.0,BuySell,61,,,Trades - Net Profit/Loss,61,,
62,,62,2020-03-31 00:00:00,63.900001525878906,65.62249755859375,63.0,63.5724983215332,197002000.0,,SmaCross,62,737515.0,Broker,62,10000.0,10000.0,BuySell,62,,,Trades - Net Profit/Loss,62,,
63,,63,2020-04-01 00:00:00,61.625,62.18000030517578,59.782501220703125,60.227500915527344,176218400.0,,SmaCross,63,737516.0,Broker,63,10000.0,10000.0,BuySell,63,,,Trades - Net Profit/Loss,63,,
64,,64,2020-04-02 00:00:00,60.084999084472656,61.287498474121094,59.224998474121094,61.23249816894531,165934000.0,,SmaCross,64,737517.0,Broker,64,10000.0,10000.0,BuySell,64,,,Trades - Net Profit/Loss,64,,
65,,65,2020-04-03 00:00:00,60.70000076293945,61.42499923706055,59.74250030517578,60.352500915527344,129880000.0,,SmaCross,65,737518.0,Broker,65,10000.0,10000.0,BuySell,65,,,Trades - Net Profit/Loss,65,,
66,,66,2020-04-06 00:00:00,62.724998474121094,65.77749633789062,62.345001220703125,65.61750030517578,201820400.0,,SmaCross,66,737521.0,Broker,66,10000.0,10000.0,BuySell,66,,,Trades - Net Profit/Loss,66,,
67,,67,2020-04-07 00:00:00,67.69999694824219,67.92500305175781,64.75,64.85749816894531,202887200.0,,SmaCross,67,737522.0,Broker,67,10000.0,10000.0,BuySell,67,,,Trades - Net Profit/Loss,67,,
68,,68,2020-04-08 00:00:00,65.68499755859375,66.84249877929688,65.30750274658203,66.51750183105469,168895200.0,,SmaCross,68,737523.0,Broker,68,10000.0,10000.0,BuySell,68,,,Trades - Net Profit/Loss,68,,
69,,69,2020-04-09 00:00:00,67.17500305175781,67.51750183105469,66.17500305175781,66.99749755859375,161834800.0,,SmaCross,69,737524.0,Broker,69,10000.0,10000.0,BuySell,69,,,Trades - Net Profit/Loss,69,,
70,,70,2020-04-13 00:00:00,67.07749938964844,68.42500305175781,66.4574966430664,68.3125,131022800.0,,SmaCross,70,737528.0,Broker,70,10000.0,10000.0,BuySell,70,,,Trades - Net Profit/Loss,70,,
71,,71,2020-04-14 00:00:00,70.0,72.0625,69.51249694824219,71.76249694824219,194994800.0,,SmaCross,71,737529.0,Broker,71,10000.0,10000.0,BuySell,71,,,Trades - Net Profit/Loss,71,,
72,,72,2020-04-15 00:00:00,70.5999984741211,71.5824966430664,70.15750122070312,71.10749816894531,131154400.0,,SmaCross,72,737530.0,Broker,72,10000.0,10000.0,BuySell,72,,,Trades - Net Profit/Loss,72,,
73,,73,2020-04-16 00:00:00,71.84500122070312,72.05000305175781,70.5875015258789,71.67250061035156,157125200.0,,SmaCross,73,737531.0,Broker,73,10000.0,10000.0,BuySell,73,,,Trades - Net Profit/Loss,73,,
74,,74,2020-04-17 00:00:00,71.17250061035156,71.73750305175781,69.21499633789062,70.69999694824219,215250000.0,,SmaCross,74,737532.0,Broker,74,10000.0,10000.0,BuySell,74,,,Trades - Net Profit/Loss,74,,
75,,75,2020-04-20 00:00:00,69.48750305175781,70.41999816894531,69.2125015258789,69.23249816894531,130015200.0,,SmaCross,75,737535.0,Broker,75,10000.0,10000.0,BuySell,75,,,Trades - Net Profit/Loss,75,,
76,,76,2020-04-21 00:00:00,69.06999969482422,69.3125,66.35749816894531,67.09249877929688,180991600.0,,SmaCross,76,737536.0,Broker,76,10000.0,10000.0,BuySell,76,,,Trades - Net Profit/Loss,76,,
77,,77,2020-04-22 00:00:00,68.40249633789062,69.4749984741211,68.05000305175781,69.0250015258789,116862400.0,,SmaCross,77,737537.0,Broker,77,10000.0,10000.0,BuySell,77,,,Trades - Net Profit/Loss,77,,
78,,78,2020-04-23 00:00:00,68.96749877929688,70.4375,68.71749877929688,68.75749969482422,124814400.0,,SmaCross,78,737538.0,Broker,78,10000.0,10000.0,BuySell,78,,,Trades - Net Profit/Loss,78,,
79,,79,2020-04-24 00:00:00,69.30000305175781,70.75250244140625,69.25,70.74250030517578,126161200.0,,SmaCross,79,737539.0,Broker,79,10000.0,10000.0,BuySell,79,,,Trades - Net Profit/Loss,79,,
80,,80,2020-04-27 00:00:00,70.44999694824219,71.13500213623047,69.98750305175781,70.7925033569336,117087600.0,,SmaCross,80,737542.0,Broker,80,10000.0,10000.0,BuySell,80,,,Trades - Net Profit/Loss,80,,
81,,81,2020-04-28 00:00:00,71.2699966430664,71.4574966430664,69.55000305175781,69.6449966430664,112004800.0,,SmaCross,81,737543.0,Broker,81,10000.0,10000.0,BuySell,81,,,Trades - Net Profit/Loss,81,,
82,,82,2020-04-29 00:00:00,71.18250274658203,72.4175033569336,70.97250366210938,71.93250274658203,137280800.0,,SmaCross,82,737544.0,Broker,82,10000.0,10000.0,BuySell,82,,,Trades - Net Profit/Loss,82,,
83,,83,2020-04-30 00:00:00,72.48999786376953,73.63249969482422,72.0875015258789,73.44999694824219,183064000.0,,SmaCross,83,737545.0,Broker,83,10000.0,10000.0,BuySell,83,,,Trades - Net Profit/Loss,83,,
84,,84,2020-05-01 00:00:00,71.5625,74.75,71.4625015258789,72.26750183105469,240616800.0,,SmaCross,84,737546.0,Broker,84,10000.0,10000.0,BuySell,84,,,Trades - Net Profit/Loss,84,,
85,,85,2020-05-04 00:00:00,72.2925033569336,73.42250061035156,71.58000183105469,73.29000091552734,133568000.0,,SmaCross,85,737549.0,Broker,85,10000.0,10000.0,BuySell,85,,,Trades - Net Profit/Loss,85,,
86,,86,2020-05-05 00:00:00,73.76499938964844,75.25,73.61499786376953,74.38999938964844,147751200.0,,SmaCross,86,737550.0,Broker,86,10000.0,10000.0,BuySell,86,,,Trades - Net Profit/Loss,86,,
87,,87,2020-05-06 00:00:00,75.11499786376953,75.80999755859375,74.71749877929688,75.15750122070312,142333600.0,,SmaCross,87,737551.0,Broker,87,10000.0,10000.0,BuySell,87,,,Trades - Net Profit/Loss,87,,
88,,88,2020-05-07 00:00:00,75.80500030517578,76.2925033569336,75.49250030517578,75.93499755859375,115215200.0,,SmaCross,88,737552.0,Broker,88,10000.0,10000.0,BuySell,88,,,Trades - Net Profit/Loss,88,,
89,,89,2020-05-08 00:00:00,76.41000366210938,77.5875015258789,76.07250213623047,77.53250122070312,133838400.0,,SmaCross,89,737553.0,Broker,89,10000.0,10000.0,BuySell,89,,,Trades - Net Profit/Loss,89,,
90,,90,2020-05-11 00:00:00,77.0250015258789,79.26249694824219,76.80999755859375,78.75250244140625,145946400.0,,SmaCross,90,737556.0,Broker,90,10000.0,10000.0,BuySell,90,,,Trades - Net Profit/Loss,90,,
91,,91,2020-05-12 00:00:00,79.4574966430664,79.92250061035156,77.72750091552734,77.85250091552734,162301200.0,,SmaCross,91,737557.0,Broker,91,10000.0,10000.0,BuySell,91,,,Trades - Net Profit/Loss,91,,
92,,92,2020-05-13 00:00:00,78.0374984741211,78.98750305175781,75.80249786376953,76.9124984741211,200622400.0,,SmaCross,92,737558.0,Broker,92,10000.0,10000.0,BuySell,92,,,Trades - Net Profit/Loss,92,,
93,,93,2020-05-14 00:00:00,76.12750244140625,77.44750213623047,75.38249969482422,77.38500213623047,158929200.0,,SmaCross,93,737559.0,Broker,93,10000.0,10000.0,BuySell,93,,,Trades - Net Profit/Loss,93,,
94,,94,2020-05-15 00:00:00,75.0875015258789,76.9749984741211,75.05249786376953,76.92749786376953,166348400.0,,SmaCross,94,737560.0,Broker,94,10000.0,10000.0,BuySell,94,,,Trades - Net Profit/Loss,94,,
95,,95,2020-05-18 00:00:00,78.2925033569336,79.125,77.58000183105469,78.73999786376953,135178400.0,,SmaCross,95,737563.0,Broker,95,10000.0,10000.0,BuySell,95,,,Trades - Net Profit/Loss,95,,
96,,96,2020-05-19 00:00:00,78.75749969482422,79.62999725341797,78.25250244140625,78.28500366210938,101729600.0,,SmaCross,96,737564.0,Broker,96,10000.0,10000.0,BuySell,96,,,Trades - Net Profit/Loss,96,,
97,,97,2020-05-20 00:00:00,79.16999816894531,79.87999725341797,79.12999725341797,79.80750274658203,111504800.0,,SmaCross,97,737565.0,Broker,97,10000.0,10000.0,BuySell,97,,,Trades - Net Profit/Loss,97,,
98,,98,2020-05-21 00:00:00,79.66500091552734,80.22250366210938,78.96749877929688,79.2125015258789,102688800.0,,SmaCross,98,737566.0,Broker,98,10000.0,10000.0,BuySell,98,,,Trades - Net Profit/Loss,98,,
99,,99,2020-05-22 00:00:00,78.94249725341797,79.80750274658203,78.8375015258789,79.72250366210938,81803200.0,,SmaCross,99,737567.0,Broker,99,10000.0,10000.0,BuySell,99,,,Trades - Net Profit/Loss,99,,
100,,100,2020-05-26 00:00:00,80.875,81.05999755859375,79.125,79.18250274658203,125522000.0,,SmaCross,100,737571.0,Broker,100,10000.0,10000.0,BuySell,100,,,Trades - Net Profit/Loss,100,,
101,,101,2020-05-27 00:00:00,79.03500366210938,79.67749786376953,78.27249908447266,79.52749633789062,112945200.0,,SmaCross,101,737572.0,Broker,101,10000.0,10000.0,BuySell,101,,,Trades - Net Profit/Loss,101,,
102,,102,2020-05-28 00:00:00,79.19249725341797,80.86000061035156,78.90750122070312,79.5625,133560800.0,,SmaCross,102,737573.0,Broker,102,10000.0,10000.0,BuySell,102,,,Trades - Net Profit/Loss,102,,
103,,103,2020-05-29 00:00:00,79.8125,80.2874984741211,79.11750030517578,79.48500061035156,153532400.0,,SmaCross,103,737574.0,Broker,103,10000.0,10000.0,BuySell,103,,,Trades - Net Profit/Loss,103,,
104,,104,2020-06-01 00:00:00,79.4375,80.5875015258789,79.30249786376953,80.4625015258789,80791200.0,,SmaCross,104,737577.0,Broker,104,10000.0,10000.0,BuySell,104,,,Trades - Net Profit/Loss,104,,
105,,105,2020-06-02 00:00:00,80.1875,80.86000061035156,79.73249816894531,80.83499908447266,87642800.0,,SmaCross,105,737578.0,Broker,105,10000.0,10000.0,BuySell,105,,,Trades - Net Profit/Loss,105,,
106,,106,2020-06-03 00:00:00,81.16500091552734,81.55000305175781,80.57499694824219,81.27999877929688,104491200.0,,SmaCross,106,737579.0,Broker,106,10000.0,10000.0,BuySell,106,,,Trades - Net Profit/Loss,106,,
107,,107,2020-06-04 00:00:00,81.09750366210938,81.40499877929688,80.19499969482422,80.58000183105469,87560400.0,,SmaCross,107,737580.0,Broker,107,10000.0,10000.0,BuySell,107,,,Trades - Net Profit/Loss,107,,
108,,108,2020-06-05 00:00:00,80.8375015258789,82.9375,80.80750274658203,82.875,137250400.0,,SmaCross,108,737581.0,Broker,108,10000.0,10000.0,BuySell,108,,,Trades - Net Profit/Loss,108,,
109,,109,2020-06-08 00:00:00,82.5625,83.4000015258789,81.83000183105469,83.36499786376953,95654400.0,,SmaCross,109,737584.0,Broker,109,10000.0,10000.0,BuySell,109,,,Trades - Net Profit/Loss,109,,
110,,110,2020-06-09 00:00:00,83.03500366210938,86.40249633789062,83.00250244140625,85.99749755859375,147712400.0,,SmaCross,110,737585.0,Broker,110,10000.0,10000.0,BuySell,110,,,Trades - Net Profit/Loss,110,,
111,,111,2020-06-10 00:00:00,86.9749984741211,88.69249725341797,86.52249908447266,88.20999908447266,166651600.0,,SmaCross,111,737586.0,Broker,111,10000.0,10000.0,BuySell,111,,,Trades - Net Profit/Loss,111,,
112,,112,2020-06-11 00:00:00,87.32749938964844,87.76499938964844,83.87000274658203,83.9749984741211,201662400.0,,SmaCross,112,737587.0,Broker,112,10000.0,10000.0,BuySell,112,,,Trades - Net Profit/Loss,112,,
113,,113,2020-06-12 00:00:00,86.18000030517578,86.94999694824219,83.55500030517578,84.69999694824219,200146000.0,,SmaCross,113,737588.0,Broker,113,10000.0,10000.0,BuySell,113,,,Trades - Net Profit/Loss,113,,
114,,114,2020-06-15 00:00:00,83.3125,86.41999816894531,83.1449966430664,85.74749755859375,138808800.0,,SmaCross,114,737591.0,Broker,114,10000.0,10000.0,BuySell,114,,,Trades - Net Profit/Loss,114,,
115,,115,2020-06-16 00:00:00,87.86499786376953,88.30000305175781,86.18000030517578,88.0199966430664,165428800.0,,SmaCross,115,737592.0,Broker,115,10000.0,10000.0,BuySell,115,,,Trades - Net Profit/Loss,115,,
116,,116,2020-06-17 00:00:00,88.7874984741211,88.8499984741211,87.77249908447266,87.89749908447266,114406400.0,,SmaCross,116,737593.0,Broker,116,10000.0,10000.0,BuySell,116,,,Trades - Net Profit/Loss,116,,
117,,117,2020-06-18 00:00:00,87.85250091552734,88.36250305175781,87.30500030517578,87.93250274658203,96820400.0,,SmaCross,117,737594.0,Broker,117,10000.0,10000.0,BuySell,117,,,Trades - Net Profit/Loss,117,,
118,,118,2020-06-19 00:00:00,88.66000366210938,89.13999938964844,86.2874984741211,87.43000030517578,264476000.0,,SmaCross,118,737595.0,Broker,118,10000.0,10000.0,BuySell,118,,,Trades - Net Profit/Loss,118,,
119,,119,2020-06-22 00:00:00,87.83499908447266,89.86499786376953,87.7874984741211,89.71749877929688,135445200.0,,SmaCross,119,737598.0,Broker,119,10000.0,10000.0,BuySell,119,,,Trades - Net Profit/Loss,119,,
120,,120,2020-06-23 00:00:00,91.0,93.09500122070312,90.56749725341797,91.63249969482422,212155600.0,,SmaCross,120,737599.0,Broker,120,10000.0,10000.0,BuySell,120,,,Trades - Net Profit/Loss,120,,
121,,121,2020-06-24 00:00:00,91.25,92.19750213623047,89.62999725341797,90.01499938964844,192623200.0,,SmaCross,121,737600.0,Broker,121,10000.0,10000.0,BuySell,121,,,Trades - Net Profit/Loss,121,,
122,,122,2020-06-25 00:00:00,90.17500305175781,91.25,89.39250183105469,91.20999908447266,137522400.0,,SmaCross,122,737601.0,Broker,122,10000.0,10000.0,BuySell,122,,,Trades - Net Profit/Loss,122,,
123,,123,2020-06-26 00:00:00,91.10250091552734,91.33000183105469,88.25499725341797,88.40750122070312,205256800.0,,SmaCross,123,737602.0,Broker,123,10000.0,10000.0,BuySell,123,,,Trades - Net Profit/Loss,123,,
